z y Bx By Bz
-2 -2 0 -1.04 0
-2 -1.94937 0 -1.04 0
-2 -1.89873 0 -1.04 0
-2 -1.8481 0 -1.04 0
-2 -1.79747 0 -1.04 0
-2 -1.74684 0 -1.04 0
-2 -1.6962 0 -1.04 0
-2 -1.64557 0 -1.04 0
-2 -1.59494 0 -1.04 0
-2 -1.5443 0 -1.04 0
-2 -1.49367 0 -1.04 0
-2 -1.44304 0 -1.04 0
-2 -1.39241 0 -1.04 0
-2 -1.34177 0 -1.04 0
-2 -1.29114 0 -1.04 0
-2 -1.24051 0 -1.04 0
-2 -1.18987 0 -1.04 0
-2 -1.13924 0 -1.04 0
-2 -1.08861 0 -1.04 0
-2 -1.03797 0 -1.04 0
-2 -0.987342 0 -1.04 0
-2 -0.936709 0 -1.04 0
-2 -0.886076 0 -1.04 0
-2 -0.835443 0 -1.04 0
-2 -0.78481 0 -1.04 0
-2 -0.734177 0 -1.04 0
-2 -0.683544 0 -1.04 0
-2 -0.632911 0 -1.04 0
-2 -0.582278 0 -1.04 0
-2 -0.531646 0 -1.04 0
-2 -0.481013 0 -1.04 0
-2 -0.43038 0 -1.04 0
-2 -0.379747 0 -1.04 0
-2 -0.329114 0 -1.04 0
-2 -0.278481 0 -1.04 0
-2 -0.227848 0 -1.04 0
-2 -0.177215 0 -1.04 0
-2 -0.126582 0 -1.04 0
-2 -0.0759494 0 -1.04 0
-2 -0.0253165 0 -1.04 0
-2 0.0253165 0 -1.04 0
-2 0.0759494 0 -1.04 0
-2 0.126582 0 -1.04 0
-2 0.177215 0 -1.04 0
-2 0.227848 0 -1.04 0
-2 0.278481 0 -1.04 0
-2 0.329114 0 -1.04 0
-2 0.379747 0 -1.04 0
-2 0.43038 0 -1.04 0
-2 0.481013 0 -1.04 0
-2 0.531646 0 -1.04 0
-2 0.582278 0 -1.04 0
-2 0.632911 0 -1.04 0
-2 0.683544 0 -1.04 0
-2 0.734177 0 -1.04 0
-2 0.78481 0 -1.04 0
-2 0.835443 0 -1.04 0
-2 0.886076 0 -1.04 0
-2 0.936709 0 -1.04 0
-2 0.987342 0 -1.04 0
-2 1.03797 0 -1.04 0
-2 1.08861 0 -1.04 0
-2 1.13924 0 -1.04 0
-2 1.18987 0 -1.04 0
-2 1.24051 0 -1.04 0
-2 1.29114 0 -1.04 0
-2 1.34177 0 -1.04 0
-2 1.39241 0 -1.04 0
-2 1.44304 0 -1.04 0
-2 1.49367 0 -1.04 0
-2 1.5443 0 -1.04 0
-2 1.59494 0 -1.04 0
-2 1.64557 0 -1.04 0
-2 1.6962 0 -1.04 0
-2 1.74684 0 -1.04 0
-2 1.79747 0 -1.04 0
-2 1.8481 0 -1.04 0
-2 1.89873 0 -1.04 0
-2 1.94937 0 -1.04 0
-2 2 0 -1.04 0
-1.94937 -2 0 -1.038 0
-1.94937 -1.94937 0 -1.038 0
-1.94937 -1.89873 0 -1.038 0
-1.94937 -1.8481 0 -1.038 0
-1.94937 -1.79747 0 -1.038 0
-1.94937 -1.74684 0 -1.038 0
-1.94937 -1.6962 0 -1.038 0
-1.94937 -1.64557 0 -1.038 0
-1.94937 -1.59494 0 -1.038 0
-1.94937 -1.5443 0 -1.038 0
-1.94937 -1.49367 0 -1.038 0
-1.94937 -1.44304 0 -1.038 0
-1.94937 -1.39241 0 -1.038 0
-1.94937 -1.34177 0 -1.038 0
-1.94937 -1.29114 0 -1.038 0
-1.94937 -1.24051 0 -1.038 0
-1.94937 -1.18987 0 -1.038 0
-1.94937 -1.13924 0 -1.038 0
-1.94937 -1.08861 0 -1.038 0
-1.94937 -1.03797 0 -1.038 0
-1.94937 -0.987342 0 -1.038 0
-1.94937 -0.936709 0 -1.038 0
-1.94937 -0.886076 0 -1.038 0
-1.94937 -0.835443 0 -1.038 0
-1.94937 -0.78481 0 -1.038 0
-1.94937 -0.734177 0 -1.038 0
