time x y z pitch mu rL Rc
0 1.61405e-07 0.1 2.5284e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
6e-11 -2.24035e-08 0.1 1.56226e-07 1.47145 4.48746e-23 5.63009e-08 1.02512
1.2e-10 5.63128e-08 0.1 -3.23641e-08 1.47145 4.48746e-23 5.63008e-08 1.02512
1.8e-10 2.60219e-07 0.1 2.63968e-08 1.47145 4.48746e-23 5.63008e-08 1.02512
2.4e-10 2.33563e-07 0.1 2.40287e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
3e-10 2.28515e-08 0.1 2.46434e-07 1.47145 4.48746e-23 5.63009e-08 1.02512
3.6e-10 -4.29112e-09 0.1 4.44101e-08 1.47145 4.48746e-23 5.63008e-08 1.02512
4.2e-10 1.99491e-07 0.1 -3.01909e-09 1.47145 4.48746e-23 5.63009e-08 1.02512
4.8e-10 2.78662e-07 0.1 1.97193e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
5.4e-10 9.50943e-08 0.100001 3.06037e-07 1.47145 4.48746e-23 5.63009e-08 1.02512
6e-10 -3.09453e-08 0.100001 1.43912e-07 1.47145 4.48746e-23 5.63009e-08 1.02512
6.6e-10 1.20442e-07 0.100001 3.97247e-09 1.47145 4.48746e-23 5.63008e-08 1.02512
7.2e-10 2.85134e-07 0.100001 1.40666e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
7.8e-10 1.75795e-07 0.100001 3.25803e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
8.4e-10 -1.68129e-08 0.100001 2.46676e-07 1.47145 4.48746e-23 5.63009e-08 1.02512
9e-10 4.33503e-08 0.100001 5.16338e-08 1.47145 4.48746e-23 5.63008e-08 1.02512
9.6e-10 2.51319e-07 0.100001 9.12604e-08 1.47145 4.48746e-23 5.63008e-08 1.02512
1.02e-09 2.44253e-07 0.100001 3.06718e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
1.08e-09 3.44811e-08 0.100001 3.32398e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
1.14e-09 -1.20121e-08 0.100001 1.33795e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
1.2e-09 1.8589e-07 0.100001 6.77054e-08 1.47145 4.48746e-23 5.63008e-08 1.02512
1.26e-09 2.8291e-07 0.100001 2.59732e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
1.32e-09 1.0978e-07 0.100001 3.85147e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
1.38e-09 -3.14442e-08 0.100001 2.35439e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
1.44e-09 1.05629e-07 0.100001 8.2098e-08 1.47145 4.48746e-23 5.63009e-08 1.02512
1.5e-09 2.81851e-07 0.100002 2.02953e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
1.56e-09 1.8977e-07 0.100002 3.97448e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
1.62e-09 -9.96175e-09 0.100002 3.36548e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
1.68e-09 3.11246e-08 0.100002 1.36802e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
1.74e-09 2.41346e-07 0.100002 1.57001e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
1.8e-09 2.53933e-07 0.100002 3.72202e-07 1.47145 4.48746e-23 5.63009e-08 1.02512
1.86e-09 4.6925e-08 0.100002 4.17245e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
1.92e-09 -1.85144e-08 0.100002 2.23842e-07 1.47145 4.48746e-23 5.63009e-08 1.02512
1.98e-09 1.71785e-07 0.100002 1.39717e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
2.04e-09 2.85812e-07 0.100002 3.21939e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
2.1e-09 1.24625e-07 0.100002 4.62886e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
2.16e-09 -3.05554e-08 0.100002 3.26948e-07 1.47145 4.48746e-23 5.63009e-08 1.02512
2.22e-09 9.10114e-08 0.100002 1.61591e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
2.28e-09 2.7723e-07 0.100002 2.65608e-07 1.47145 4.48745e-23 5.63008e-08 1.02512
2.34e-09 2.03208e-07 0.100002 4.6782e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
2.4e-09 -1.90966e-09 0.100002 4.25729e-07 1.47145 4.48746e-23 5.63009e-08 1.02512
2.46e-09 1.97422e-08 0.100002 2.23068e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
2.52e-09 2.30388e-07 0.100003 2.23714e-07 1.47145 4.48746e-23 5.63009e-08 1.02512
2.58e-09 2.62517e-07 0.100003 4.36837e-07 1.47145 4.48746e-23 5.63008e-08 1.02512
