it time x y z u v w Bx By Bz
0 0 1.61405e-07 0.1 2.5284e-07 5379.97 156.777 8428.01 0 1 0.099668
2 6e-11 -2.24035e-08 0.1 1.56226e-07 -7615.62 351.791 6471.37 0 1 0.0996681
4 1.2e-10 5.63128e-08 0.1 -3.23641e-08 -7324.37 1655 -6604.13 0 1 0.0996681
6 1.8e-10 2.60219e-07 0.1 2.63968e-08 5745.58 1792.72 -7985.89 0 1 0.0996682
8 2.4e-10 2.33563e-07 0.1 2.40287e-07 8791.31 524.668 4736.83 0 1 0.0996682
10 3e-10 2.28515e-08 0.1 2.46434e-07 -3501.01 63.1948 9366.91 0 1 0.0996683
12 3.6e-10 -4.29112e-09 0.1 4.44101e-08 -9685.18 1213.42 -2173.67 0 1 0.0996684
14 4.2e-10 1.99491e-07 0.1 -3.01909e-09 1028.22 1968.57 -9750.26 0 1 0.0996684
16 4.8e-10 2.78662e-07 0.1 1.97193e-07 9947.7 1011.14 -144.112 0 1 0.0996685
18 5.4e-10 9.50943e-08 0.100001 3.06037e-07 1511.6 11.5453 9885.09 0 1 0.0996685
20 6e-10 -3.09453e-08 0.100001 1.43912e-07 -9561.77 713.761 2839.57 0 1 0.0996686
22 6.6e-10 1.20442e-07 0.100001 3.97247e-09 -3952.88 1892.65 -8988.47 0 1 0.0996687
24 7.2e-10 2.85134e-07 0.100001 1.40666e-07 8552.53 1491.42 -4962.85 0 1 0.0996687
26 7.8e-10 1.75795e-07 0.100001 3.25803e-07 6136.49 210.091 7892.99 0 1 0.0996688
28 8.4e-10 -1.68129e-08 0.100001 2.46676e-07 -6985.78 284.174 7149.7 0 1 0.0996688
30 9e-10 4.33503e-08 0.100001 5.16338e-08 -7920.08 1584.42 -5895.93 0 1 0.0996689
32 9.6e-10 2.51319e-07 0.100001 9.12604e-08 4963.65 1842.31 -8483.4 0 1 0.099669
34 1.02e-09 2.44253e-07 0.100001 3.06718e-07 9187.38 607.907 3901.6 0 1 0.099669
36 1.08e-09 3.44811e-08 0.100001 3.32398e-07 -2617.95 34.8515 9651.17 0 1 0.0996691
38 1.14e-09 -1.20121e-08 0.100001 1.33795e-07 -9855.79 1122.94 -1265.86 0 1 0.0996691
40 1.2e-09 1.8589e-07 0.100001 6.77054e-08 101.597 1973.81 -9802.74 0 1 0.0996692
42 1.26e-09 2.8291e-07 0.100001 2.59732e-07 9881.73 1102.95 -1065.32 0 1 0.0996692
44 1.32e-09 1.0978e-07 0.100001 3.85147e-07 2421.38 29.7451 9702.37 0 1 0.0996693
46 1.38e-09 -3.14442e-08 0.100001 2.35439e-07 -9263.51 626.588 3714.13 0 1 0.0996694
48 1.44e-09 1.05629e-07 0.100001 8.2098e-08 -4786.51 1852.18 -8582.47 0 1 0.0996694
50 1.5e-09 2.81851e-07 0.100002 2.02953e-07 8041.43 1568.25 -5733.76 0 1 0.0996695
52 1.56e-09 1.8977e-07 0.100002 3.97448e-07 6839.63 270.166 7290.16 0 1 0.0996695
54 1.62e-09 -9.96175e-09 0.100002 3.36548e-07 -6295.15 222.669 7766.69 0 1 0.0996696
56 1.68e-09 3.11246e-08 0.100002 1.36802e-07 -8446.89 1508.63 -5135.57 0 1 0.0996697
58 1.74e-09 2.41346e-07 0.100002 1.57001e-07 4138.52 1884.46 -8906.26 0 1 0.0996697
60 1.8e-09 2.53933e-07 0.100002 3.72202e-07 9503.53 694.446 3033.27 0 1 0.0996698
62 1.86e-09 4.6925e-08 0.100002 4.17245e-07 -1712.1 14.7906 9852.33 0 1 0.0996698
64 1.92e-09 -1.85144e-08 0.100002 2.23842e-07 -9940.66 1031.27 -346.171 0 1 0.0996699
66 1.98e-09 1.71785e-07 0.100002 1.39717e-07 -825.922 1970.46 -9769.09 0 1 0.09967
68 2.04e-09 2.85812e-07 0.100002 3.21939e-07 9729.78 1193.76 -1976.42 0 1 0.09967
70 2.1e-09 1.24625e-07 0.100002 4.62886e-07 3310.11 56.2732 9436.1 0 1 0.0996701
72 2.16e-09 -3.05554e-08 0.100002 3.26948e-07 -8884.66 542.548 4557.25 0 1 0.0996701
74 2.22e-09 9.10114e-08 0.100002 1.61591e-07 -5578.51 1804.19 -8100.93 0 1 0.0996702
76 2.28e-09 2.7723e-07 0.100002 2.65608e-07 7460.36 1640.03 -6453.93 0 1 0.0996702
78 2.34e-09 2.03208e-07 0.100002 4.6782e-07 7483.28 336.478 6624.75 0 1 0.0996703
80 2.4e-09 -1.90966e-09 0.100002 4.25729e-07 -5549.75 167.812 8316.98 0 1 0.0996704
82 2.46e-09 1.97422e-08 0.100002 2.23068e-07 -8900.22 1428.31 -4329.66 0 1 0.0996704
84 2.52e-09 2.30388e-07 0.100003 2.23714e-07 3277.37 1918.8 -9250.79 0 1 0.0996705
86 2.58e-09 2.62517e-07 0.100003 4.36837e-07 9736.99 783.533 2139.4 0 1 0.0996705
88 2.64e-09 6.00751e-08 0.100003 5.00903e-07 -791.342 3.18728 9968.64 0 1 0.0996706
90 2.7e-09 -2.37416e-08 0.100003 3.14434e-07 -9939.04 939.217 577.4 0 1 0.0996707
92 2.76e-09 1.57301e-07 0.100003 2.13058e-07 -1746.27 1958.55 -9649.59 0 1 0.0996707
94 2.82e-09 2.87341e-07 0.100003 3.83941e-07 9493.18 1282.77 -2869.48 0 1 0.0996708
96 2.88e-09 1.395e-07 0.100003 5.39244e-07 4170.05 90.8993 9088.59 0 1 0.0996708
98 2.94e-09 -2.82865e-08 0.100003 4.18311e-07 -8428.5 462.372 5361.59 0 1 0.0996709
100 3e-09 7.67156e-08 0.100003 2.42428e-07 -6321.99 1749.09 -7548.05 0 1 0.099671
102 3.06e-09 2.71311e-07 0.100003 3.28753e-07 6814.38 1706.14 -7117.11 0 1 0.099671
104 3.12e-09 2.15992e-07 0.100003 5.36974e-07 8061.82 408.451 5902.56 0 1 0.0996711
106 3.18e-09 7.27338e-09 0.100003 5.14109e-07 -4756.06 120.081 8795.77 0 1 0.0996711
108 3.24e-09 9.30213e-09 0.100003 3.10348e-07 -9276.13 1344.14 -3485.21 0 1 0.0996712
110 3.3e-09 2.18539e-07 0.100003 2.91487e-07 2387.69 1945.03 -9513.98 0 1 0.0996713
112 3.36e-09 2.69932e-07 0.100003 5.0073e-07 9885.75 874.392 1227.75 0 1 0.0996713
114 3.42e-09 7.38169e-08 0.100003 5.83312e-07 136.313 0.142837 9999.07 0 1 0.0996713
116 3.48e-09 -2.7648e-08 0.100003 4.05451e-07 -9850.95 847.574 1496.82 0 1 0.0996714
118 3.54e-09 1.42562e-07 0.100004 2.87756e-07 -2651.44 1938.19 -9445.28 0 1 0.0996715
120 3.6e-09 2.87484e-07 0.100004 4.45864e-07 9173.99 1369.21 -3736.74 0 1 0.0996715
122 3.66e-09 1.54276e-07 0.100004 6.14225e-07 4993.72 133.323 8662.85 0 1 0.0996716
124 3.72e-09 -2.46572e-08 0.100004 5.094e-07 -7899 386.757 6120.14 0 1 0.0996716
126 3.78e-09 6.28663e-08 0.100004 3.24573e-07 -7010.48 1687.35 -6928.64 0 1 0.0996717
128 3.84e-09 2.64146e-07 0.100004 3.92506e-07 6109.1 1765.98 -7717.52 0 1 0.0996718
130 3.9e-09 2.28012e-07 0.100004 6.04975e-07 8570.24 485.46 5129.85 0 1 0.0996718
132 3.96e-09 1.75075e-08 0.100004 6.01587e-07 -3920.97 79.8901 9198.89 0 1 0.0996719
134 4.02e-09 -1.0479e-10 0.100004 3.9855e-07 -9571.33 1256.86 -2609.58 0 1 0.099672
136 4.08e-09 2.05903e-07 0.100004 3.60397e-07 1477.23 1962.93 -9693.54 0 1 0.099672
138 4.14e-09 2.76113e-07 0.100004 5.63991e-07 9948.5 966.234 306.271 0 1 0.0996721
140 4.2e-09 8.80309e-08 0.100004 6.64422e-07 1062.8 5.68424 9943.36 0 1 0.0996721
142 4.26e-09 -3.01997e-08 0.100004 4.96768e-07 -9677.15 757.14 2404.08 0 1 0.0996722
144 4.32e-09 1.27696e-07 0.100004 3.6383e-07 -3533.55 1909.55 -9157.93 0 1 0.0996723
146 4.38e-09 2.8624e-07 0.100004 5.07839e-07 8774.97 1452.32 -4570.63 0 1 0.0996723
148 4.44e-09 1.68824e-07 0.100004 6.87844e-07 5773.95 183.174 8162.59 0 1 0.0996723
150 4.5e-09 -1.96991e-08 0.100004 6.0009e-07 -7300.77 316.363 6826.32 0 1 0.0996724
152 4.56e-09 4.95842e-08 0.100005 4.07978e-07 -7637.97 1619.52 -6248.08 0 1 0.0996725
154 4.62e-09 2.55796e-07 0.100005 4.5698e-07 5350.66 1819.05 -8249.94 0 1 0.0996725
156 4.68e-09 2.39163e-07 0.100005 6.71901e-07 9004.09 566.835 4313.35 0 1 0.0996726
158 4.74e-09 2.87037e-08 0.100005 6.8807e-07 -3051.75 47.5905 9522.84 0 1 0.0996726
160 4.8e-09 -8.39664e-09 0.100005 4.87575e-07 -9783.26 1167.23 -1710.37 0 1 0.0996727
162 4.86e-09 1.9259e-07 0.100005 4.30514e-07 553.909 1972.34 -9787.9 0 1 0.0996728
164 4.92e-09 2.81006e-07 0.100005 6.26737e-07 9924.68 1058.26 -617.033 0 1 0.0996728
166 4.98e-09 1.02593e-07 0.100005 7.44196e-07 1980.04 19.7637 9801.99 0 1 0.0996729
168 5.04e-09 -3.13744e-08 0.100005 5.88259e-07 -9419.14 668.704 3291.29 0 1 0.0996729
170 5.1e-09 1.12834e-07 0.100005 4.41285e-07 -4384.92 1872.88 -8790.04 0 1 0.099673
172 5.16e-09 2.8362e-07 0.100005 5.69994e-07 8299.59 1531.39 -5363.92 0 1 0.0996731
174 5.22e-09 1.83017e-07 0.100005 7.60128e-07 6503.96 240.021 7592.16 0 1 0.0996731
176 5.28e-09 -1.34552e-08 0.100005 6.90261e-07 -6639.01 251.801 7473.96 0 1 0.0996732
178 5.34e-09 3.69848e-08 0.100005 4.92587e-07 -8199.02 1546.18 -5512.29 0 1 0.0996732
180 5.4e-09 2.46336e-07 0.100005 5.22281e-07 4545.65 1864.88 -8709.72 0 1 0.0996733
182 5.46e-09 2.49347e-07 0.100005 7.37835e-07 9359.61 651.867 3460.17 0 1 0.0996733
184 5.52e-09 4.07647e-08 0.100005 7.73473e-07 -2155.97 23.4633 9764.8 0 1 0.0996734
186 5.58e-09 -1.55012e-08 0.100006 5.77316e-07 -9910.07 1076.03 -795.41 0 1 0.0996735
188 5.64e-09 1.78715e-07 0.100006 5.01893e-07 -374.25 1973.18 -9796.25 0 1 0.0996735
190 5.7e-09 2.84568e-07 0.100006 6.89091e-07 9814.52 1149.66 -1534.12 0 1 0.0996736
192 5.76e-09 1.17378e-07 0.100006 8.22607e-07 2880.08 42.2592 9576.19 0 1 0.0996736
194 5.82e-09 -3.11617e-08 0.100006 6.79796e-07 -9079.18 583.034 4150.73 0 1 0.0996737
196 5.88e-09 9.81034e-08 0.100006 5.20115e-07 -5198.16 1828.51 -8344.8 0 1 0.0996738
198 5.94e-09 2.79647e-07 0.100006 6.32455e-07 7751.99 1605.73 -6109.68 0 1 0.0996738
200 6e-09 1.96733e-07 0.100006 8.31115e-07 7177.39 303.369 6956.52 0 1 0.0996739
202 6.06e-09 -5.97978e-09 0.100006 7.79795e-07 -5919.48 193.635 8057.44 0 1 0.0996739
204 6.12e-09 2.51777e-08 0.100006 5.7833e-07 -8688.74 1467.98 -4727.67 0 1 0.099674
206 6.18e-09 2.35846e-07 0.100006 5.8851e-07 3701.08 1903.07 -9092.87 0 1 0.0996741
208 6.24e-09 2.58475e-07 0.100006 8.02872e-07 9633.69 739.818 2577.72 0 1 0.0996741
210 6.3e-09 5.35855e-08 0.100006 8.5772e-07 -1241.42 7.71904 9922.64 0 1 0.0996742
212 6.36e-09 -2.13567e-08 0.100006 6.6766e-07 -9950.65 984.057 127.339 0 1 0.0996742
214 6.42e-09 1.64399e-07 0.100006 5.74583e-07 -1299.16 1965.43 -9718.5 0 1 0.0996743
216 6.48e-09 2.86768e-07 0.100006 7.51177e-07 9618.95 1239.66 -2437.02 0 1 0.0996743
218 6.54e-09 1.32255e-07 0.100006 8.9964e-07 3755.06 72.9755 9267.91 0 1 0.0996744
220 6.6e-09 -2.95636e-08 0.100007 7.71248e-07 -8660.21 500.876 4974.92 0 1 0.0996745
222 6.66e-09 8.36338e-08 0.100007 6.00303e-07 -5966.17 1776.81 -7826.09 0 1 0.0996745
224 6.72e-09 2.74354e-07 0.100007 6.95347e-07 7136.94 1674.68 -6801.44 0 1 0.0996746
226 6.78e-09 2.09851e-07 0.100007 9.00856e-07 7788.37 372.666 6261.19 0 1 0.0996746
228 6.84e-09 2.66212e-09 0.100007 8.68581e-07 -5148.42 142.369 8571.67 0 1 0.0996747
230 6.9e-09 1.42657e-08 0.100007 6.65128e-07 -9102.85 1385.58 -3901.05 0 1 0.0996748
232 6.96e-09 2.24418e-07 0.100007 6.55757e-07 2824.29 1933.3 -9396.05 0 1 0.0996748
234 7.02e-09 2.6647e-07 0.100007 8.67114e-07 9823.95 829.922 1673.69 0 1 0.0996749
236 7.08e-09 6.70545e-08 0.100007 9.40747e-07 -316.054 0.495055 9995 0 1 0.0996749
238 7.14e-09 -2.5912e-08 0.100007 7.58487e-07 -9904.64 892.102 1049.85 0 1 0.099675
240 7.2e-09 1.49767e-07 0.100007 6.48618e-07 -2212.79 1949.17 -9555.33 0 1 0.0996751
242 7.26e-09 2.87588e-07 0.100007 8.13123e-07 9339.68 1327.45 -3317.87 0 1 0.0996751
244 7.32e-09 1.47097e-07 0.100007 9.75292e-07 4597.38 111.646 8879.84 0 1 0.0996752
246 7.38e-09 -2.65938e-08 0.100007 8.62489e-07 -8165.88 422.945 5756.69 0 1 0.0996752
248 7.44e-09 6.95506e-08 0.100007 6.81817e-07 -6682.28 1718.24 -7238.42 0 1 0.0996753
