z y Bx By Bz
-2 -2 0 1 -0.964028
-2 -1.94937 0 1 -0.96027
-2 -1.89873 0 1 -0.956129
-2 -1.8481 0 1 -0.951567
-2 -1.79747 0 1 -0.946543
-2 -1.74684 0 1 -0.941014
-2 -1.6962 0 1 -0.934933
-2 -1.64557 0 1 -0.928247
-2 -1.59494 0 1 -0.920903
-2 -1.5443 0 1 -0.912841
-2 -1.49367 0 1 -0.903998
-2 -1.44304 0 1 -0.894308
-2 -1.39241 0 1 -0.883699
-2 -1.34177 0 1 -0.872097
-2 -1.29114 0 1 -0.859425
-2 -1.24051 0 1 -0.8456
-2 -1.18987 0 1 -0.83054
-2 -1.13924 0 1 -0.814158
-2 -1.08861 0 1 -0.796369
-2 -1.03797 0 1 -0.777087
-2 -0.987342 0 1 -0.756227
-2 -0.936709 0 1 -0.733706
-2 -0.886076 0 1 -0.70945
-2 -0.835443 0 1 -0.683388
-2 -0.78481 0 1 -0.655459
-2 -0.734177 0 1 -0.625614
-2 -0.683544 0 1 -0.593819
-2 -0.632911 0 1 -0.560054
-2 -0.582278 0 1 -0.52432
-2 -0.531646 0 1 -0.486638
-2 -0.481013 0 1 -0.447054
-2 -0.43038 0 1 -0.405639
-2 -0.379747 0 1 -0.362488
-2 -0.329114 0 1 -0.317724
-2 -0.278481 0 1 -0.271499
-2 -0.227848 0 1 -0.223985
-2 -0.177215 0 1 -0.175383
-2 -0.126582 0 1 -0.125911
-2 -0.0759494 0 1 -0.0758037
-2 -0.0253165 0 1 -0.025311
-2 0.0253165 0 1 0.025311
-2 0.0759494 0 1 0.0758037
-2 0.126582 0 1 0.125911
-2 0.177215 0 1 0.175383
-2 0.227848 0 1 0.223985
-2 0.278481 0 1 0.271499
-2 0.329114 0 1 0.317724
-2 0.379747 0 1 0.362488
-2 0.43038 0 1 0.405639
-2 0.481013 0 1 0.447054
-2 0.531646 0 1 0.486638
-2 0.582278 0 1 0.52432
-2 0.632911 0 1 0.560054
-2 0.683544 0 1 0.593819
-2 0.734177 0 1 0.625614
-2 0.78481 0 1 0.655459
-2 0.835443 0 1 0.683388
-2 0.886076 0 1 0.70945
-2 0.936709 0 1 0.733706
-2 0.987342 0 1 0.756227
-2 1.03797 0 1 0.777087
-2 1.08861 0 1 0.796369
-2 1.13924 0 1 0.814158
-2 1.18987 0 1 0.83054
-2 1.24051 0 1 0.8456
-2 1.29114 0 1 0.859425
-2 1.34177 0 1 0.872097
-2 1.39241 0 1 0.883699
-2 1.44304 0 1 0.894308
-2 1.49367 0 1 0.903998
-2 1.5443 0 1 0.912841
-2 1.59494 0 1 0.920903
-2 1.64557 0 1 0.928247
-2 1.6962 0 1 0.934933
-2 1.74684 0 1 0.941014
-2 1.79747 0 1 0.946543
-2 1.8481 0 1 0.951567
-2 1.89873 0 1 0.956129
-2 1.94937 0 1 0.96027
-2 2 0 1 0.964028
-1.94937 -2 0 1 -0.964028
-1.94937 -1.94937 0 1 -0.96027
-1.94937 -1.89873 0 1 -0.956129
-1.94937 -1.8481 0 1 -0.951567
-1.94937 -1.79747 0 1 -0.946543
-1.94937 -1.74684 0 1 -0.941014
-1.94937 -1.6962 0 1 -0.934933
-1.94937 -1.64557 0 1 -0.928247
-1.94937 -1.59494 0 1 -0.920903
-1.94937 -1.5443 0 1 -0.912841
-1.94937 -1.49367 0 1 -0.903998
-1.94937 -1.44304 0 1 -0.894308
-1.94937 -1.39241 0 1 -0.883699
-1.94937 -1.34177 0 1 -0.872097
-1.94937 -1.29114 0 1 -0.859425
-1.94937 -1.24051 0 1 -0.8456
-1.94937 -1.18987 0 1 -0.83054
-1.94937 -1.13924 0 1 -0.814158
-1.94937 -1.08861 0 1 -0.796369
-1.94937 -1.03797 0 1 -0.777087
-1.94937 -0.987342 0 1 -0.756227
-1.94937 -0.936709 0 1 -0.733706
-1.94937 -0.886076 0 1 -0.70945
-1.94937 -0.835443 0 1 -0.683388
-1.94937 -0.78481 0 1 -0.655459
-1.94937 -0.734177 0 1 -0.625614
-1.94937 -0.683544 0 1 -0.593819
-1.94937 -0.632911 0 1 -0.560054
-1.94937 -0.582278 0 1 -0.52432
-1.94937 -0.531646 0 1 -0.486638
-1.94937 -0.481013 0 1 -0.447054
-1.94937 -0.43038 0 1 -0.405639
-1.94937 -0.379747 0 1 -0.362488
-1.94937 -0.329114 0 1 -0.317724
-1.94937 -0.278481 0 1 -0.271499
-1.94937 -0.227848 0 1 -0.223985
-1.94937 -0.177215 0 1 -0.175383
-1.94937 -0.126582 0 1 -0.125911
-1.94937 -0.0759494 0 1 -0.0758037
-1.94937 -0.0253165 0 1 -0.025311
-1.94937 0.0253165 0 1 0.025311
-1.94937 0.0759494 0 1 0.0758037
-1.94937 0.126582 0 1 0.125911
-1.94937 0.177215 0 1 0.175383
-1.94937 0.227848 0 1 0.223985
-1.94937 0.278481 0 1 0.271499
-1.94937 0.329114 0 1 0.317724
-1.94937 0.379747 0 1 0.362488
-1.94937 0.43038 0 1 0.405639
-1.94937 0.481013 0 1 0.447054
-1.94937 0.531646 0 1 0.486638
-1.94937 0.582278 0 1 0.52432
-1.94937 0.632911 0 1 0.560054
-1.94937 0.683544 0 1 0.593819
-1.94937 0.734177 0 1 0.625614
-1.94937 0.78481 0 1 0.655459
-1.94937 0.835443 0 1 0.683388
-1.94937 0.886076 0 1 0.70945
-1.94937 0.936709 0 1 0.733706
-1.94937 0.987342 0 1 0.756227
-1.94937 1.03797 0 1 0.777087
-1.94937 1.08861 0 1 0.796369
-1.94937 1.13924 0 1 0.814158
-1.94937 1.18987 0 1 0.83054
-1.94937 1.24051 0 1 0.8456
-1.94937 1.29114 0 1 0.859425
-1.94937 1.34177 0 1 0.872097
-1.94937 1.39241 0 1 0.883699
-1.94937 1.44304 0 1 0.894308
-1.94937 1.49367 0 1 0.903998
-1.94937 1.5443 0 1 0.912841
-1.94937 1.59494 0 1 0.920903
-1.94937 1.64557 0 1 0.928247
-1.94937 1.6962 0 1 0.934933
-1.94937 1.74684 0 1 0.941014
-1.94937 1.79747 0 1 0.946543
-1.94937 1.8481 0 1 0.951567
-1.94937 1.89873 0 1 0.956129
-1.94937 1.94937 0 1 0.96027
-1.94937 2 0 1 0.964028
-1.89873 -2 0 1 -0.964028
-1.89873 -1.94937 0 1 -0.96027
-1.89873 -1.89873 0 1 -0.956129
-1.89873 -1.8481 0 1 -0.951567
-1.89873 -1.79747 0 1 -0.946543
-1.89873 -1.74684 0 1 -0.941014
-1.89873 -1.6962 0 1 -0.934933
-1.89873 -1.64557 0 1 -0.928247
-1.89873 -1.59494 0 1 -0.920903
-1.89873 -1.5443 0 1 -0.912841
-1.89873 -1.49367 0 1 -0.903998
-1.89873 -1.44304 0 1 -0.894308
-1.89873 -1.39241 0 1 -0.883699
-1.89873 -1.34177 0 1 -0.872097
-1.89873 -1.29114 0 1 -0.859425
-1.89873 -1.24051 0 1 -0.8456
-1.89873 -1.18987 0 1 -0.83054
-1.89873 -1.13924 0 1 -0.814158
-1.89873 -1.08861 0 1 -0.796369
-1.89873 -1.03797 0 1 -0.777087
-1.89873 -0.987342 0 1 -0.756227
-1.89873 -0.936709 0 1 -0.733706
-1.89873 -0.886076 0 1 -0.70945
-1.89873 -0.835443 0 1 -0.683388
-1.89873 -0.78481 0 1 -0.655459
-1.89873 -0.734177 0 1 -0.625614
-1.89873 -0.683544 0 1 -0.593819
-1.89873 -0.632911 0 1 -0.560054
-1.89873 -0.582278 0 1 -0.52432
-1.89873 -0.531646 0 1 -0.486638
-1.89873 -0.481013 0 1 -0.447054
-1.89873 -0.43038 0 1 -0.405639
-1.89873 -0.379747 0 1 -0.362488
-1.89873 -0.329114 0 1 -0.317724
-1.89873 -0.278481 0 1 -0.271499
-1.89873 -0.227848 0 1 -0.223985
-1.89873 -0.177215 0 1 -0.175383
-1.89873 -0.126582 0 1 -0.125911
-1.89873 -0.0759494 0 1 -0.0758037
-1.89873 -0.0253165 0 1 -0.025311
-1.89873 0.0253165 0 1 0.025311
-1.89873 0.0759494 0 1 0.0758037
-1.89873 0.126582 0 1 0.125911
-1.89873 0.177215 0 1 0.175383
-1.89873 0.227848 0 1 0.223985
-1.89873 0.278481 0 1 0.271499
-1.89873 0.329114 0 1 0.317724
-1.89873 0.379747 0 1 0.362488
-1.89873 0.43038 0 1 0.405639
-1.89873 0.481013 0 1 0.447054
-1.89873 0.531646 0 1 0.486638
-1.89873 0.582278 0 1 0.52432
-1.89873 0.632911 0 1 0.560054
-1.89873 0.683544 0 1 0.593819
-1.89873 0.734177 0 1 0.625614
-1.89873 0.78481 0 1 0.655459
-1.89873 0.835443 0 1 0.683388
-1.89873 0.886076 0 1 0.70945
-1.89873 0.936709 0 1 0.733706
-1.89873 0.987342 0 1 0.756227
-1.89873 1.03797 0 1 0.777087
-1.89873 1.08861 0 1 0.796369
-1.89873 1.13924 0 1 0.814158
-1.89873 1.18987 0 1 0.83054
-1.89873 1.24051 0 1 0.8456
-1.89873 1.29114 0 1 0.859425
-1.89873 1.34177 0 1 0.872097
-1.89873 1.39241 0 1 0.883699
-1.89873 1.44304 0 1 0.894308
-1.89873 1.49367 0 1 0.903998
-1.89873 1.5443 0 1 0.912841
-1.89873 1.59494 0 1 0.920903
-1.89873 1.64557 0 1 0.928247
-1.89873 1.6962 0 1 0.934933
-1.89873 1.74684 0 1 0.941014
-1.89873 1.79747 0 1 0.946543
-1.89873 1.8481 0 1 0.951567
-1.89873 1.89873 0 1 0.956129
-1.89873 1.94937 0 1 0.96027
-1.89873 2 0 1 0.964028
-1.8481 -2 0 1 -0.964028
-1.8481 -1.94937 0 1 -0.96027
-1.8481 -1.89873 0 1 -0.956129
-1.8481 -1.8481 0 1 -0.951567
-1.8481 -1.79747 0 1 -0.946543
-1.8481 -1.74684 0 1 -0.941014
-1.8481 -1.6962 0 1 -0.934933
-1.8481 -1.64557 0 1 -0.928247
-1.8481 -1.59494 0 1 -0.920903
-1.8481 -1.5443 0 1 -0.912841
-1.8481 -1.49367 0 1 -0.903998
-1.8481 -1.44304 0 1 -0.894308
-1.8481 -1.39241 0 1 -0.883699
-1.8481 -1.34177 0 1 -0.872097
-1.8481 -1.29114 0 1 -0.859425
-1.8481 -1.24051 0 1 -0.8456
-1.8481 -1.18987 0 1 -0.83054
-1.8481 -1.13924 0 1 -0.814158
-1.8481 -1.08861 0 1 -0.796369
-1.8481 -1.03797 0 1 -0.777087
-1.8481 -0.987342 0 1 -0.756227
-1.8481 -0.936709 0 1 -0.733706
-1.8481 -0.886076 0 1 -0.70945
-1.8481 -0.835443 0 1 -0.683388
-1.8481 -0.78481 0 1 -0.655459
-1.8481 -0.734177 0 1 -0.625614
-1.8481 -0.683544 0 1 -0.593819
-1.8481 -0.632911 0 1 -0.560054
-1.8481 -0.582278 0 1 -0.52432
-1.8481 -0.531646 0 1 -0.486638
-1.8481 -0.481013 0 1 -0.447054
-1.8481 -0.43038 0 1 -0.405639
-1.8481 -0.379747 0 1 -0.362488
