time x y z pitch mu rL Rc gyrophase
0 0.998028 0.0628319 0.0628009 0.722764 3.97763e-31 0.93361 1.00989 6.24962
0.125664 0.983279 0.188584 0.18746 0.602381 2.87487e-31 0.787736 1.09043 6.10174
0.251327 0.955967 0.314854 0.309458 0.495881 1.97258e-31 0.643649 1.25965 5.91838
0.376991 0.918424 0.442389 0.427362 0.410372 1.33877e-31 0.520992 1.53519 5.68718
0.502655 0.873095 0.572107 0.54004 0.350493 9.54009e-32 0.431366 1.94658 5.40492
0.628319 0.822499 0.704954 0.646671 0.317352 7.58073e-32 0.377163 2.5389 5.08781
0.753982 0.769195 0.841778 0.746753 0.307243 6.86793e-32 0.352568 3.37873 4.76914
0.879646 0.715734 0.983218 0.840107 0.312808 6.88608e-32 0.347413 4.56296 4.47741
1.00531 0.664594 1.12962 0.92687 0.326435 7.27534e-32 0.352241 6.23144 4.22154
1.13097 0.618108 1.28101 1.00748 0.342611 7.80703e-32 0.360793 8.58512 3.99653
1.25664 0.578383 1.43704 1.08266 0.358146 8.34819e-32 0.369744 11.9097 3.79344
1.3823 0.547232 1.59706 1.15337 0.371536 8.83016e-32 0.377616 16.608 3.60443
1.50796 0.526113 1.7601 1.22079 0.382295 9.22502e-32 0.383922 23.2377 3.42378
1.63363 0.516078 1.92499 1.28625 0.390496 9.52895e-32 0.388658 32.5582 3.2477
1.75929 0.517756 2.09039 1.35117 0.396481 9.75129e-32 0.392032 45.5762 3.07378
1.88496 0.531335 2.25485 1.41706 0.40068 9.90621e-32 0.394311 63.5843 2.9006
2.01062 0.556571 2.41693 1.48539 0.403521 1.00095e-31 0.39577 88.1868 2.72735
2.13628 0.592807 2.57519 1.55758 0.405369 1.00749e-31 0.396638 121.277 2.55364
2.26195 0.639002 2.72833 1.63497 0.406521 1.01137e-31 0.3971 164.985 2.37932
2.38761 0.693776 2.87516 1.71871 0.407204 1.01348e-31 0.3973 221.536 2.20438
2.51327 0.755459 3.01471 1.80978 0.407579 1.01447e-31 0.397341 293.082 2.02887
2.63894 0.822148 3.14622 1.90894 0.407759 1.01475e-31 0.397286 381.466 1.85289
