it time x y z u v w Bx By Bz
0 0 0.998028 0.0628319 0.0628009 -0.0313927 1 0.999507 0 1 0.0627493
2 0.125664 0.983279 0.188584 0.18746 -0.144599 1.00116 0.988315 0 1 0.186379
4 0.251327 0.955967 0.314854 0.309458 -0.240066 1.00651 0.964002 0 1 0.304847
6 0.376991 0.918424 0.442389 0.427362 -0.316707 1.01828 0.928867 0 1 0.415623
8 0.502655 0.873095 0.572107 0.54004 -0.373724 1.03756 0.88533 0 1 0.516905
10 0.628319 0.822499 0.704954 0.646671 -0.410571 1.06429 0.835891 0 1 0.607503
12 0.753982 0.769195 0.841778 0.746753 -0.427014 1.09745 0.783104 0 1 0.68675
14 0.879646 0.715734 0.983218 0.840107 -0.423237 1.13519 0.729524 0 1 0.754456
16 1.00531 0.664594 1.12962 0.92687 -0.399952 1.17509 0.677653 0 1 0.810891
18 1.13097 0.618108 1.28101 1.00748 -0.358477 1.2144 0.629863 0 1 0.856754
20 1.25664 0.578383 1.43704 1.08266 -0.300742 1.25037 0.588324 0 1 0.893101
22 1.3823 0.547232 1.59706 1.15337 -0.229238 1.28043 0.554928 0 1 0.921225
24 1.50796 0.526113 1.7601 1.22079 -0.146906 1.30239 0.531221 0 1 0.942515
26 1.63363 0.516078 1.92499 1.28625 -0.05701 1.31455 0.518363 0 1 0.958327
28 1.75929 0.517756 2.09039 1.35117 0.037006 1.31577 0.517087 0 1 0.969887
30 1.88496 0.531335 2.25485 1.41706 0.131651 1.30545 0.527693 0 1 0.978236
32 2.01062 0.556571 2.41693 1.48539 0.223508 1.28355 0.550043 0 1 0.984214
34 2.13628 0.592807 2.57519 1.55758 0.309336 1.2505 0.583582 0 1 0.988472
36 2.26195 0.639002 2.72833 1.63497 0.386168 1.20718 0.627363 0 1 0.991501
38 2.38761 0.693776 2.87516 1.71871 0.451383 1.15487 0.680089 0 1 0.993657
40 2.51327 0.755459 3.01471 1.80978 0.502784 1.09516 0.740157 0 1 0.995198
42 2.63894 0.822148 3.14622 1.90894 0.538644 1.02989 0.805719 0 1 0.996306
44 2.7646 0.891772 3.26917 2.01667 0.557758 0.961109 0.874743 0 1 0.99711
46 2.89027 0.962161 3.38334 2.13322 0.55947 0.890966 0.945079 0 1 0.9977
48 3.01593 1.03112 3.48876 2.25855 0.543686 0.821668 1.01453 0 1 0.998137
50 3.14159 1.09648 3.58573 2.39233 0.510875 0.755395 1.08092 0 1 0.998465
52 3.26726 1.15619 3.67485 2.53398 0.462047 0.694234 1.14217 0 1 0.998715
54 3.39292 1.20839 3.75692 2.68268 0.398724 0.640111 1.19636 0 1 0.99891
56 3.51858 1.25144 3.83301 2.83737 0.322886 0.594729 1.24179 0 1 0.999063
58 3.64425 1.28398 3.90434 2.99683 0.236912 0.559518 1.27703 0 1 0.999188
60 3.76991 1.305 3.97231 3.15965 0.1435 0.535588 1.30098 0 1 0.999291
62 3.89557 1.31382 4.03839 3.32436 0.0455839 0.523692 1.31289 0 1 0.999379
64 4.02124 1.31019 4.10415 3.48939 -0.0537601 0.524207 1.31237 0 1 0.999455
66 4.1469 1.2942 4.17115 3.65319 -0.151409 0.537116 1.29945 0 1 0.999524
68 4.27257 1.26637 4.2409 3.81423 -0.244292 0.562017 1.27454 0 1 0.999586
70 4.39823 1.22757 4.31484 3.97107 -0.32949 0.598126 1.23842 0 1 0.999643
72 4.52389 1.17903 4.39428 4.12241 -0.404321 0.644308 1.19222 0 1 0.999695
74 4.64956 1.12226 4.48035 4.26713 -0.466434 0.699111 1.1374 0 1 0.999743
